Year,Види зброї,Value
2015,,3063
2016,,1890
2017,,3292
2018,,2985
2019,,2630
2020,,2332
2021,,2319
2022,,2832
2023,,5123
2015,гладкоствольна,98
2016,гладкоствольна,61
2017,гладкоствольна,85
2018,гладкоствольна,84
2019,гладкоствольна,60
2020,гладкоствольна,40
2021,гладкоствольна,64
2022,гладкоствольна,60
2023,гладкоствольна,60
2015,нарізна,1066
2016,нарізна,764
2017,нарізна,1130
2018,нарізна,1100
2019,нарізна,854
2020,нарізна,941
2021,нарізна,895
2022,нарізна,1291
2023,нарізна,1300
2015,інша вогнепальна зброя,805
2016,інша вогнепальна зброя,467
2017,інша вогнепальна зброя,995
2018,інша вогнепальна зброя,978
2019,інша вогнепальна зброя,920
2020,інша вогнепальна зброя,643
2021,інша вогнепальна зброя,613
2022,інша вогнепальна зброя,588
2023,інша вогнепальна зброя,3024
2015,гранатомети та реактивні системи,112
2016,гранатомети та реактивні системи,20
2017,гранатомети та реактивні системи,62
2018,гранатомети та реактивні системи,59
2019,гранатомети та реактивні системи,64
2020,гранатомети та реактивні системи,53
2021,гранатомети та реактивні системи,18
2022,гранатомети та реактивні системи,25
2023,гранатомети та реактивні системи,118
2015,холодна зброя,982
2016,холодна зброя,578
2017,холодна зброя,1020
2018,холодна зброя,764
2019,холодна зброя,732
2020,холодна зброя,655
2021,холодна зброя,729
2022,холодна зброя,868
2023,холодна зброя,621
