Year,Article,Unit,Value
2015,art_1_262,1_total,207.0
2016,art_1_262,1_total,154.0
2017,art_1_262,1_total,151.0
2018,art_1_262,1_total,102.0
2019,art_1_262,1_total,95.0
2020,art_1_262,1_total,55.0
2021,art_1_262,1_total,48.0
2022,art_1_262,1_total,174.0
2023,art_1_262,1_total,58.0
2015,art_1_262,2_per_100,0.48
2016,art_1_262,2_per_100,0.36
2017,art_1_262,2_per_100,0.36
2018,art_1_262,2_per_100,0.24
2019,art_1_262,2_per_100,0.23
2020,art_1_262,2_per_100,0.13
2021,art_1_262,2_per_100,0.12
2022,art_1_262,2_per_100,0.42
2023,art_1_262,2_per_100,0.14
2015,art_2_263,1_total,7409.0
2016,art_2_263,1_total,6307.0
2017,art_2_263,1_total,8002.0
2018,art_2_263,1_total,7466.0
2019,art_2_263,1_total,6204.0
2020,art_2_263,1_total,5116.0
2021,art_2_263,1_total,4067.0
2022,art_2_263,1_total,4735.0
2023,art_2_263,1_total,5582.0
2015,art_2_263,2_per_100,17.33
2016,art_2_263,2_per_100,14.81
2017,art_2_263,2_per_100,18.88
2018,art_2_263,2_per_100,17.71
2019,art_2_263,2_per_100,14.81
2020,art_2_263,2_per_100,12.3
2021,art_2_263,2_per_100,9.9
2022,art_2_263,2_per_100,11.5
2023,art_2_263,2_per_100,13.56
2015,art_3_263_1,1_total,150.0
2016,art_3_263_1,1_total,119.0
2017,art_3_263_1,1_total,198.0
2018,art_3_263_1,1_total,194.0
2019,art_3_263_1,1_total,185.0
2020,art_3_263_1,1_total,168.0
2021,art_3_263_1,1_total,132.0
2022,art_3_263_1,1_total,113.0
2023,art_3_263_1,1_total,163.0
2015,art_3_263_1,2_per_100,0.35
2016,art_3_263_1,2_per_100,0.28
2017,art_3_263_1,2_per_100,0.47
2018,art_3_263_1,2_per_100,0.46
2019,art_3_263_1,2_per_100,0.44
2020,art_3_263_1,2_per_100,0.4
2021,art_3_263_1,2_per_100,0.32
2022,art_3_263_1,2_per_100,0.27
2023,art_3_263_1,2_per_100,0.4
